downloaded,item_id,english_gloss,category,24
9/13/24,1,baa baa,sounds,0.78
9/13/24,2,choo choo,sounds,0.76
9/13/24,3,cockadoodledoo,sounds,0.43
9/13/24,4,grrr,sounds,0.76
9/13/24,5,meow,sounds,0.86
9/13/24,6,moo,sounds,0.87
9/13/24,7,ouch,sounds,0.78
9/13/24,8,quack quack,sounds,0.78
9/13/24,9,uh oh,sounds,0.89
9/13/24,10,vroom,sounds,0.69
9/13/24,11,woof woof,sounds,0.84
9/13/24,12,yum yum,sounds,0.73
9/13/24,13,alligator,animals,0.39
9/13/24,14,animal,animals,0.49
9/13/24,15,ant,animals,0.42
9/13/24,16,bear,animals,0.73
9/13/24,17,bee,animals,0.66
9/13/24,18,bird,animals,0.79
9/13/24,19,bug,animals,0.61
9/13/24,20,bunny,animals,0.69
9/13/24,21,butterfly,animals,0.58
9/13/24,22,cat,animals,0.82
9/13/24,23,chicken (animal),animals,0.61
9/13/24,24,cow,animals,0.74
9/13/24,25,deer,animals,0.32
9/13/24,26,dog,animals,0.88
9/13/24,27,donkey,animals,0.26
9/13/24,28,duck,animals,0.79
9/13/24,29,elephant,animals,0.63
9/13/24,30,fish (animal),animals,0.77
9/13/24,31,frog,animals,0.63
9/13/24,32,giraffe,animals,0.52
9/13/24,33,goose,animals,0.29
9/13/24,34,hen,animals,0.16
9/13/24,35,horse,animals,0.7
9/13/24,36,kitty,animals,0.7
9/13/24,37,lamb,animals,0.31
9/13/24,38,lion,animals,0.58
9/13/24,39,monkey,animals,0.69
9/13/24,40,moose,animals,0.24
9/13/24,41,mouse,animals,0.55
9/13/24,42,owl,animals,0.51
9/13/24,43,penguin,animals,0.39
9/13/24,44,pig,animals,0.69
9/13/24,45,pony,animals,0.25
9/13/24,46,puppy,animals,0.65
9/13/24,47,rooster,animals,0.25
9/13/24,48,sheep,animals,0.55
9/13/24,49,squirrel,animals,0.45
9/13/24,50,teddybear,animals,0.5
9/13/24,51,tiger,animals,0.52
9/13/24,52,turkey,animals,0.3
9/13/24,53,turtle,animals,0.59
9/13/24,54,wolf,animals,0.23
9/13/24,55,zebra,animals,0.44
9/13/24,56,airplane,vehicles,0.72
9/13/24,57,bicycle,vehicles,0.63
9/13/24,58,boat,vehicles,0.68
9/13/24,59,bus,vehicles,0.74
9/13/24,60,car,vehicles,0.88
9/13/24,61,firetruck,vehicles,0.5
9/13/24,62,helicopter,vehicles,0.44
9/13/24,63,motorcycle,vehicles,0.41
9/13/24,64,sled,vehicles,0.18
9/13/24,65,stroller,vehicles,0.46
9/13/24,66,tractor,vehicles,0.45
9/13/24,67,train,vehicles,0.75
9/13/24,68,tricycle,vehicles,0.18
9/13/24,69,truck,vehicles,0.78
9/13/24,70,ball,toys,0.95
9/13/24,71,balloon,toys,0.81
9/13/24,72,bat,toys,0.34
9/13/24,73,block,toys,0.59
9/13/24,74,book,toys,0.87
9/13/24,75,bubbles,toys,0.82
9/13/24,76,chalk,toys,0.32
9/13/24,77,crayon,toys,0.54
9/13/24,78,doll,toys,0.5
9/13/24,79,game,toys,0.32
9/13/24,80,glue,toys,0.14
9/13/24,81,pen,toys,0.43
